,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_16_100,0.5,8,0.7117117117117117,0.34422552665707284
1,wiki_qa_16_100,0.4,8,0.7117117117117117,0.4029947149316147
2,wiki_qa_16_100,0.3,8,0.6825396825396826,0.38153449050428123
3,wiki_qa_16_100,0.2,8,0.746031746031746,0.36346389609698704
4,wiki_qa_16_100_best,0.2,8,0.746031746031746,0.36346389609698704
5,wiki_qa_16_13,0.5,8,0.625,0.39119876433225476
6,wiki_qa_16_13,0.4,8,0.6190476190476191,0.3924878254443087
7,wiki_qa_16_13,0.3,8,0.625,0.4015800686471772
8,wiki_qa_16_13,0.2,8,0.6862745098039216,0.36618181475832723
9,wiki_qa_16_13_best,0.2,8,0.6862745098039216,0.36618181475832723
10,wiki_qa_16_21,0.5,8,0.5733333333333335,0.2759318698151393
11,wiki_qa_16_21,0.4,8,0.6113360323886641,0.3745036799740476
12,wiki_qa_16_21,0.3,8,0.6532019704433498,0.3177797837588397
13,wiki_qa_16_21,0.2,8,0.6235294117647059,0.30487331843768806
14,wiki_qa_16_21_best,0.3,8,0.6532019704433498,0.3177797837588397
15,wiki_qa_16_42,0.5,8,0.8125,0.4120906000574671
16,wiki_qa_16_42,0.4,8,0.8435972629521017,0.43293278259593543
17,wiki_qa_16_42,0.3,8,0.8435972629521017,0.4438347760378869
18,wiki_qa_16_42,0.2,8,0.8435972629521017,0.4793291693456361
19,wiki_qa_16_42_best,0.4,8,0.8435972629521017,0.43293278259593543
20,wiki_qa_16_87,0.5,8,0.6235294117647059,0.44076901584379724
21,wiki_qa_16_87,0.4,8,0.5607843137254902,0.4286374246999471
22,wiki_qa_16_87,0.3,8,0.5465587044534412,0.4426649876815931
23,wiki_qa_16_87,0.2,8,0.6476476476476476,0.4285518662497586
24,wiki_qa_16_87_best,0.2,8,0.6476476476476476,0.4285518662497586
