,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_16_100,0.5,8,0.9372549019607843,0.6070967741935485
1,ethos-race_16_100,0.4,8,0.906158357771261,0.6608451582722594
2,ethos-race_16_100,0.3,8,0.906158357771261,0.5611601513240858
3,ethos-race_16_100,0.2,8,0.8745098039215686,0.6138824782531511
4,ethos-race_16_100_best,0.5,8,0.9372549019607843,0.6070967741935485
5,ethos-race_16_13,0.5,8,0.8125,0.38560959360426383
6,ethos-race_16_13,0.4,8,0.8745098039215686,0.4825184970259684
7,ethos-race_16_13,0.3,8,0.9375,0.6356173563410956
8,ethos-race_16_13,0.2,8,0.8423645320197044,0.4733656174334141
9,ethos-race_16_13_best,0.3,8,0.9375,0.6356173563410956
10,ethos-race_16_21,0.5,8,0.7810361681329424,0.663225806451613
11,ethos-race_16_21,0.4,8,0.8125,0.6912903225806453
12,ethos-race_16_21,0.3,8,0.7408906882591093,0.7152454780361757
13,ethos-race_16_21,0.2,8,0.7490196078431373,0.634965034965035
14,ethos-race_16_21_best,0.4,8,0.8125,0.6912903225806453
15,ethos-race_16_42,0.5,8,0.805668016194332,0.7806722689075631
16,ethos-race_16_42,0.4,8,0.8095238095238095,0.6959917780061664
17,ethos-race_16_42,0.3,8,0.8117647058823529,0.61994301994302
18,ethos-race_16_42,0.2,8,0.8398398398398398,0.5972222222222222
19,ethos-race_16_42_best,0.2,8,0.8398398398398398,0.5972222222222222
20,ethos-race_16_87,0.5,8,0.6666666666666667,0.7898550724637681
21,ethos-race_16_87,0.4,8,0.6825396825396826,0.7675231243576568
22,ethos-race_16_87,0.3,8,0.7117117117117117,0.8032887975334019
23,ethos-race_16_87,0.2,8,0.6825396825396826,0.7306501547987616
24,ethos-race_16_87_best,0.3,8,0.7117117117117117,0.8032887975334019
