,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_16_100,0.5,8,0.9821034792216007,0.43472728406748135
1,dbpedia_14_16_100,0.4,8,0.9776698435972629,0.5290461931113785
2,dbpedia_14_16_100,0.3,8,0.9731478515159729,0.5131585241948451
3,dbpedia_14_16_100,0.2,8,0.9776348295916607,0.7164586132693597
4,dbpedia_14_16_100_best,0.5,8,0.9821034792216007,0.43472728406748135
5,dbpedia_14_16_13,0.5,8,0.9685622489464993,0.7592764907008628
6,dbpedia_14_16_13,0.4,8,0.9818181818181818,0.6832308891094871
7,dbpedia_14_16_13,0.3,8,0.9773678606339897,0.7181633576685752
8,dbpedia_14_16_13,0.2,8,0.9639495900999694,0.6048530172295589
9,dbpedia_14_16_13_best,0.4,8,0.9818181818181818,0.6832308891094871
10,dbpedia_14_16_21,0.5,8,0.9910670646557743,0.7567230623959815
11,dbpedia_14_16_21,0.4,8,0.9270120560443141,0.6469497247131664
12,dbpedia_14_16_21,0.3,8,0.9550744858060526,0.6477531438348674
13,dbpedia_14_16_21,0.2,8,0.9186460429724188,0.6149053217364862
14,dbpedia_14_16_21_best,0.5,8,0.9910670646557743,0.7567230623959815
15,dbpedia_14_16_42,0.5,8,0.9821254014802402,0.540562220178456
16,dbpedia_14_16_42,0.4,8,0.9228413163897033,0.6815127258141709
17,dbpedia_14_16_42,0.3,8,0.9819761555648652,0.5687429669619601
18,dbpedia_14_16_42,0.2,8,0.9821254014802402,0.6832801534666181
19,dbpedia_14_16_42_best,0.5,8,0.9821254014802402,0.540562220178456
20,dbpedia_14_16_87,0.5,8,0.9865984150258343,0.7572423704021335
21,dbpedia_14_16_87,0.4,8,0.9867213747669157,0.569355050356881
22,dbpedia_14_16_87,0.3,8,0.9865940511101802,0.7582732481001839
23,dbpedia_14_16_87,0.2,8,0.9821297653958947,0.676997110226693
24,dbpedia_14_16_87_best,0.4,8,0.9867213747669157,0.569355050356881
