,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_32_100,0.5,8,0.9516003122560499,0.8950904392764858
1,ethos-religion_32_100,0.4,8,0.9354838709677419,0.9372294372294372
2,ethos-religion_32_100,0.3,8,0.9354838709677419,0.8817934782608696
3,ethos-religion_32_100,0.2,8,0.967741935483871,0.9087412587412588
4,ethos-religion_32_100_best,0.2,8,0.967741935483871,0.9087412587412588
5,ethos-religion_32_13,0.5,8,0.9677083333333334,0.9521364386576197
6,ethos-religion_32_13,0.4,8,0.9677083333333334,0.9521364386576197
7,ethos-religion_32_13,0.3,8,0.9677083333333334,0.9372294372294372
8,ethos-religion_32_13,0.2,8,0.9677083333333334,0.9372294372294372
9,ethos-religion_32_13_best,0.5,8,0.9677083333333334,0.9521364386576197
10,ethos-religion_32_21,0.5,8,0.9838667707520166,0.9227764956506302
11,ethos-religion_32_21,0.4,8,0.9838667707520166,0.9227764956506302
12,ethos-religion_32_21,0.3,8,0.9838667707520166,0.9227764956506302
13,ethos-religion_32_21,0.2,8,0.9838667707520166,0.9227764956506302
14,ethos-religion_32_21_best,0.5,8,0.9838667707520166,0.9227764956506302
15,ethos-religion_32_42,0.5,8,0.967741935483871,0.9227764956506302
16,ethos-religion_32_42,0.4,8,0.9838667707520166,0.9227764956506302
17,ethos-religion_32_42,0.3,8,0.967741935483871,0.8688222482827945
18,ethos-religion_32_42,0.2,8,0.967741935483871,0.8950904392764858
19,ethos-religion_32_42_best,0.4,8,0.9838667707520166,0.9227764956506302
20,ethos-religion_32_87,0.5,8,0.9354166666666667,0.9087412587412588
21,ethos-religion_32_87,0.4,8,0.9193338537600833,0.8950904392764858
22,ethos-religion_32_87,0.3,8,0.9193338537600833,0.8950904392764858
23,ethos-religion_32_87,0.2,8,0.9032258064516129,0.8950904392764858
24,ethos-religion_32_87_best,0.5,8,0.9354166666666667,0.9087412587412588
